location,property_area,street,features,bed,bath,toilet,description,price
ajah,abraham-adesanya-estate,Lagos Business School (LBS)Abraham Adesanya Estate Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,Nice and Spacious 3 Bedroom Flat + BQ with Excellent Facilities for Rent,1300000.0
ajah,abraham-adesanya-estate,LBSAbraham Adesanya Estate Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Newly built 3bedroom flat,2000000.0
ajah,abraham-adesanya-estate,Abraham Adesanya Estate Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,Three Bedroom Flat in a block of flats,800000.0
ajah,abraham-adesanya-estate,"Kemi Durosimmi Etti street, Lekki Scheme 2Abraham Adesanya Estate Ajah Lagos",4 beds 4 baths 5 Toilets,4,4,5,4bedroom semi detached duplex,3500000.0
ajah,abraham-adesanya-estate,Road 6Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat,450000.0
ajah,abraham-adesanya-estate,Lekki Garden EstateAbraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4 bedroom terrace duplex at Ajah,2000000.0
ajah,abraham-adesanya-estate,LBSAbraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Newly built 2bedroom flat,1200000.0
ajah,abraham-adesanya-estate,Road 6Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Self contained,300000.0
ajah,abraham-adesanya-estate,Lekki peninsula scheme 2Abraham Adesanya Estate Ajah Lagos,3 beds 4 baths 5 Toilets,3,4,5,Top notch all rooms ensuite 3 bedroom flat with extra big room bq,1500000.0
ajah,abraham-adesanya-estate,Abraham Adesanya Estate Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,Service massonette 3bedroom flat at Abraham Adesanyan Axis,1800000.0
ajah,abraham-adesanya-estate,Abraham Adesanya Estate Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Brand New 3bedroom flat at Abraham adesanya estate 900k yearly rent self compound,900000.0
ajah,abraham-adesanya-estate,-Abraham Adesanya Estate Ajah Lagos,4 beds 5 baths 5 Toilets,4,5,5,4bedroom semi terrace duplex at lekki gardens phase 2 well secured estate,1700000.0
ajah,abraham-adesanya-estate,Lekki gardens phase 2Abraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,Newly built 4bedroom terrace duplex in a serene court @1.8m,2000000.0
ajah,abraham-adesanya-estate,...Abraham Adesanya Estate Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,Newly built massive studio 2 bedroom flat at lekki shecme 2,1500000.0
ajah,abraham-adesanya-estate,Abraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,Brand New 4bedroom tarrace duplex at jerricho villa estate along Abraham adesanya roundabout 1.8m yearly rent,2100000.0
ajah,abraham-adesanya-estate,Very close to Abraham Adesanya EstateAbraham Adesanya Estate Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Standard 3 Bedroom Flat,1500000.0
ajah,abraham-adesanya-estate,Lekki scheme 2Abraham Adesanya Estate Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Newly built tastefully finished 3bedeoom flat with a room boy's quarter,1500000.0
ajah,abraham-adesanya-estate,By lekki gardens Abraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,Executive newly built all rooms ensuite 4 bedroom terrace duplex,2100000.0
ajah,abraham-adesanya-estate,-Abraham Adesanya Estate Ajah Lagos,3 beds 4 baths 4 Toilets,3,4,4,Newly built Spacious tastefully finished 3bedroom terrace at lekki gardens scheme 1.8m,1800000.0
ajah,abraham-adesanya-estate,Lekki Scheme 2Abraham Adesanya Estate Ajah Lagos,3 beds 3 baths Toilets,3,3,0,Newly Built 3 Bedroom Flat + Swimming Pool For Rent @ Ajah - Lekki Scheme 2,1500000.0
ajah,abraham-adesanya-estate,-Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Self contain Studio apartment,600000.0
