location,property_area,bed,street,features,bath,toilet,description,price,median_price,Maxi,Min
ajah,abijo,3,Destiny homesAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT WITH ALL ROOMS ENSUIT IN A GATED AND SECURED ESTATE IN A GOOD NEIGHBOURHOOD,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Destiny homesAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT WITH ALL ROOMS ENSUIT IN A GATED AND SECURED ESTATE IN A GOOD NEIGHBOURHOOD,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,samson ayejuro fidisoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,BRAND NEW 3 BEDROOM FLAT,1000000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Destiny Home EstateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,BRAND NEW 3 BEDROOM APARTMENT IN AJAH,1000000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Sunday Ejiofor StreetAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,NEW EXECUTIVE 3 BEDROOMS SUITE APARTMENT IN ABIJO,800000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,AbijoAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT,700000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,-Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT,750000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Fidiso estateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,John Agosi streetAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,NEWLY RENOVATED 3 BEDROOM FLAT IN MAJEK ABIJO AJAH,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,GRAAbijo Ajah Lagos,3 beds 2 baths 3 Toilets,2,3,3 BEDROOM FLAT,700000.0,850000.0,1000000.0,700000.0
